CustomerID,avg_spending,estimated_lifetime_value
15838,1922.23,46133.52
17940,1432.00,34368.00
17369,979.20,23500.80
14308,849.45,20386.80
17857,766.70,18400.80
12823,765.00,18360.00
17450,619.78,14874.72
16029,612.43,14698.32
12980,559.20,13420.80
17876,530.00,12720.00
13902,445.47,10691.28
15389,427.40,10257.60
12454,421.20,10108.80
17949,417.00,10008.00
18102,414.54,9948.96
13848,320.00,7680.00
15876,313.20,7516.80
14933,295.00,7080.00
15769,288.48,6923.52
14866,279.00,6696.00
12557,268.83,6451.92
16754,264.55,6349.20
14609,264.00,6336.00
13340,255.02,6120.48
17133,252.18,6052.32
17381,245.14,5883.36
16943,241.38,5793.12
12629,240.00,5760.00
12497,239.87,5756.88
13970,232.00,5568.00
18194,221.00,5304.00
13687,214.66,5151.84
14145,212.25,5094.00
12931,210.88,5061.12
16684,208.64,5007.36
18251,204.66,4911.84
14063,204.53,4908.72
17941,204.00,4896.00
15588,204.00,4896.00
16013,194.55,4669.20
14088,193.99,4655.76
16467,189.00,4536.00
16276,172.35,4136.40
16182,165.00,3960.00
13629,165.00,3960.00
17031,165.00,3960.00
14195,163.20,3916.80
15061,152.07,3649.68
12643,149.30,3583.20
13694,148.15,3555.60
13763,145.00,3480.00
17389,140.40,3369.60
14926,139.20,3340.80
12356,137.36,3296.64
12415,137.27,3294.48
15797,135.68,3256.32
15794,130.80,3139.20
13027,129.60,3110.40
12380,128.58,3085.92
15268,127.50,3060.00
15100,127.40,3057.60
18229,123.90,2973.60
14646,123.74,2969.76
15523,123.42,2962.08
15372,121.95,2926.80
15043,121.83,2923.92
16913,121.68,2920.32
17382,119.34,2864.16
15380,118.80,2851.20
14835,118.80,2851.20
16191,115.79,2778.96
17930,114.49,2747.76
16087,113.18,2716.32
13225,113.12,2714.88
12798,111.58,2677.92
15369,110.88,2661.12
12913,110.85,2660.40
15944,110.80,2659.20
14543,110.63,2655.12
16915,109.88,2637.12
16656,107.95,2590.80
14045,107.04,2568.96
13935,106.90,2565.60
14258,106.64,2559.36
15310,105.84,2540.16
12482,105.52,2532.48
17919,103.68,2488.32
13777,102.89,2469.36
13082,102.63,2463.12
17809,102.07,2449.68
15304,102.00,2448.00
13108,102.00,2448.00
18093,101.70,2440.80
16563,101.12,2426.88
15587,100.80,2419.20
17404,100.58,2413.92
15251,100.36,2408.64
17307,98.84,2372.16
12873,98.10,2354.40
12358,97.29,2334.96
